tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business
000048,京基智农,深圳证券交易所,1994-11-01,4.80,http://www.kingkeyzn.com,广东省深圳市罗湖区桂园街道老围社区蔡屋围京基一百大厦A座7101,"现代农业和房地产业,主要包括:种猪、肉猪养殖与销售;种鸡、肉鸡养殖与销售;饲料生产与销售;房地产开发、房地产租赁。"
000049,德赛电池,深圳证券交易所,1995-03-20,4.95,http://www.desaybattery.com.cn,广东省深圳市南山区高新科技园南区高新南一道德赛科技大厦东座26楼,生产制造电源管理系统及各类锂电池。
000050,深天马A,深圳证券交易所,1995-03-15,4.50,http://www.tianma.cn,广东省深圳市南山区马家龙工业城64栋,以智能手机、平板电脑为代表的移动智能终端显示核心业务、车载显示关键业务和以医疗、工控为代表的增值业务。
000055,方大集团,深圳证券交易所,1996-04-15,1.60,http://www.fangda.com,广东省深圳市南山区龙珠四路2号方大城T1栋39层,建筑幕墙系统、地铁屏蔽门及相关软件，房地产业务。
000056,皇庭国际,深圳证券交易所,1996-07-08,1.53,http://www.wongtee000056.com,广东省深圳市福田区福田街道岗厦社区福华路350号岗厦皇庭大厦28A01单元,"以商业不动产综合运营服务为主,以委托管理、整租、不动产投资合作等多种方式拓展商业不动产运营业务。"
000058,深赛格,深圳证券交易所,1996-12-26,2.39,http://www.segcl.com.cn,广东省深圳市福田区华强北路群星广场A座三十一楼,"主营业务包括以通信市场、电子专业市场为核心的电子市场流通业务,以物业经营及物业管理为核心的城市服务业务,以新能源和检验检测认证为代表的战略性新兴业务。"
000059,华锦股份,深圳证券交易所,1997-01-30,5.38,http://www.huajinchem.com,辽宁省盘锦市双台子区红旗大街,由聚烯烃产品、油品、液化产品、尿素和精细化工产品构成。
000060,中金岭南,深圳证券交易所,1997-01-23,8.00,http://www.nonfemet.com,广东省深圳市福田深南大道6013号中国有色大厦23-26楼,主要从事铅锌等有色金属的采矿、选矿、冶炼、销售及有色金属贸易业务;铝型材、幕墙门窗、电池材料等业务。
000061,农产品,深圳证券交易所,1997-01-10,8.38,http://www.szap.com,广东省深圳市福田区深南大道7028号时代科技大厦13楼,农产品批发市场的开发、建设、经营和管理。
000062,深圳华强,深圳证券交易所,1997-01-30,11.40,http://www.szhq000062.com,广东省深圳市福田区华强北路华强广场A座5楼,"面向电子信息产业链的现代高端服务业,为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、信息服务、数据服务和创新创业配套等服务,打造面向电子信息产业的国内一流线下、线上交易服务平台。"
000063,中兴通讯,深圳证券交易所,1997-11-18,6.81,http://www.zte.com.cn,"广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,香港铜锣湾勿地臣街1号时代广场2座31楼","投资兴办实业,电子及通信设备零部件的销售。"
