tickers,company,listed_market,listing_date,issue_price,company_website,business_address,main_business,diluted_earnings_per_share 06/30/24,diluted_earnings_per_share 03/31/24,diluted_earnings_per_share 12/31/23,diluted_earnings_per_share 09/30/23,weighted_earnings_per_share 06/30/24,weighted_earnings_per_share 03/31/24,weighted_earnings_per_share 12/31/23,weighted_earnings_per_share 09/30/23,net_asset_per_share 06/30/24,net_asset_per_share 03/31/24,net_asset_per_share 12/31/23,net_asset_per_share 09/30/23,return_on_equity 06/30/24,return_on_equity 03/31/24,return_on_equity 12/31/23,return_on_equity 09/30/23,operating_profit_margin 06/30/24,operating_profit_margin 03/31/24,operating_profit_margin 12/31/23,operating_profit_margin 09/30/23,net_profit_margin 06/30/24,net_profit_margin 03/31/24,net_profit_margin 12/31/23,net_profit_margin 09/30/23,return_on_assets 06/30/24,return_on_assets 03/31/24,return_on_assets 12/31/23,return_on_assets 09/30/23,current_ratio 06/30/24,current_ratio 03/31/24,current_ratio 12/31/23,current_ratio 09/30/23,quick_ratio 06/30/24,quick_ratio 03/31/24,quick_ratio 12/31/23,quick_ratio 09/30/23,cash_ratio 06/30/24,cash_ratio 03/31/24,cash_ratio 12/31/23,cash_ratio 09/30/23,debt_to_asset_ratio 06/30/24,debt_to_asset_ratio 03/31/24,debt_to_asset_ratio 12/31/23,debt_to_asset_ratio 09/30/23
002643,万润股份,深圳证券交易所,2011-12-20,25.0,http://www.valiant-cn.com,山东省烟台市经济技术开发区五指山路11号,从事电子信息材料产业、环保材料产业和大健康产业三个领域产品的研发、生产和销售。,0.3094,0.1435,0.9479,0.6968,0.23,0.11,0.84,0.6267,7.4816,7.642,7.5179,7.1878,3.09,1.38,10.91,8.61,16.0128,17.0282,21.9579,22.2083,14.712,14.2311,20.4786,20.4091,2.737,1.2853,8.6995,6.4456,2.7292,3.2493,3.0306,2.3116,1.5352,1.7396,1.5508,1.2083,92.9556,94.9121,55.7892,75.2126,27.1841,24.759,24.3962,28.2128
002644,佛慈制药,深圳证券交易所,2011-12-22,16.0,http://www.fczy.com,甘肃省兰州市兰州新区华山路2289号,"中成药、配方颗粒及大健康产品的研发、生产和销售,中药材种植和销售,中药饮片加工和销售,口罩、酒精等医疗器械的生产和销售。",0.0726,0.0365,0.1334,0.1156,0.0707,0.036,0.1316,0.1158,3.4591,3.4539,3.4179,3.425,2.04,1.04,3.85,3.38,8.4706,8.3838,7.1595,8.7444,7.4294,6.7953,5.8568,6.8604,1.4919,0.7375,2.6946,2.3041,2.9006,2.7094,2.6489,2.5701,1.9042,1.8879,1.8584,1.8023,86.3475,79.0086,86.8188,61.8181,27.924,29.295,30.0491,30.9941
002645,华宏科技,深圳证券交易所,2011-12-20,27.0,http://www.hhyyjx.net,江苏省江阴市周庄镇澄杨路1118号,"再生资源加工设备业务和废弃资源综合利用业务,电梯部件业务板块,稀土废料综合利用领域。",0.0206,-0.0295,-0.3328,-0.2883,0.0038,-0.0479,-0.28,-0.2655,6.3395,6.2991,6.3737,6.3954,0.06,-0.76,-4.28,-4.12,0.9665,-0.5774,-2.6519,-2.8732,0.4453,-1.4189,-2.8123,-3.1247,0.1952,-0.2872,-3.1585,-2.7995,2.2375,2.4416,2.2124,2.5205,1.2459,1.3381,1.1352,1.2914,48.3307,58.6231,57.3224,55.7291,37.7093,36.2718,38.5489,36.561
002646,天佑德酒,深圳证券交易所,2011-12-22,16.0,http://www.qkj.com.cn,青海省互助县威远镇西大街6号,"青稞酒的研发、生产、销售,主要产品含互助、天佑德、八大作坊、永庆和等系列。",0.1655,0.2251,0.1926,0.2181,0.1659,0.2248,0.1889,0.2243,5.9332,6.1002,5.8549,5.9901,2.78,3.68,3.17,3.74,13.9196,26.44,12.6309,15.064,10.5103,20.6227,7.6724,10.9522,2.3928,3.1358,2.7897,3.1229,4.2661,4.1525,3.9846,4.2976,1.1176,1.4313,1.1909,1.4152,99.835,129.819,108.7254,121.5265,14.7967,15.5626,15.7707,14.9718
002647,仁东控股,深圳证券交易所,2011-12-28,12.8,http://www.rendongholdings.com,"北京市朝阳区光华路5号院世纪财富中心2号楼809,广东省广州市天河区珠江东路28号越秀金融大厦40层",主营业务：,-0.2013,-0.0497,-0.3809,-0.2271,-0.2,-0.052,-0.38,-0.23,-0.1372,0.056,0.108,0.1036,--,-92.75,-356.07,-223.3,-11.8376,-5.4451,-6.3112,-5.5198,-16.7895,-7.4638,-11.848,-9.5088,-2.6383,-0.6111,-4.817,-2.8941,0.6807,0.71,0.7014,0.6718,0.6807,0.71,0.7014,0.6718,62.8392,65.8814,65.1651,62.4987,100.5055,98.0815,97.4004,97.4301
002648,卫星化学,深圳证券交易所,2011-12-28,40.0,http://www.stl-chem.com,浙江省嘉兴市南湖区富强路196号,(聚)丙烯、丙烯酸及酯、乙二醇、环氧乙烷和聚乙烯等产品的生产和销售。,0.6093,0.303,1.4201,1.0065,0.61,0.3,1.42,1.01,7.7966,7.874,7.5594,7.3185,7.83,3.86,18.81,13.77,12.1116,13.3532,12.9627,12.4937,10.58,11.5923,11.5308,10.9792,3.1272,1.5507,7.4073,5.6366,0.884,1.0039,1.0687,1.2062,0.5221,0.6465,0.7134,0.8336,31.5852,43.1712,53.9575,54.0695,59.9472,59.661,60.5256,58.9634
002649,博彦科技,深圳证券交易所,2012-01-06,22.0,http://www.beyondsoft.com,北京市海淀区西北旺东路10号院东区7号楼(博彦科技大厦),产品及解决方案、研发工程服务和IT运营维护。,0.1228,0.0307,0.3612,0.3785,0.1277,0.03,0.37,0.3838,6.9485,6.8456,6.8127,6.8473,1.82,0.48,5.39,5.53,2.83,1.4018,3.9315,5.2909,2.1564,1.1061,3.2368,4.596,1.3257,0.3456,3.9548,4.1414,3.0257,3.2461,2.9463,2.9981,2.9505,3.1659,2.8904,2.9238,122.5958,139.8326,144.5388,140.7373,24.9127,22.7982,25.324,24.9395
002650,ST加加,深圳证券交易所,2012-01-06,30.0,http://www.jiajiagroup.com,湖南省宁乡市经济开发区三环路与谐园路交汇处,酱油、食用植物油和其他调味品的研发、生产和销售。,-0.0276,0.0047,-0.166,-0.0219,-0.026,0.006,-0.173,-0.023,1.7915,1.7964,1.8243,1.9896,-1.41,0.32,-9.11,-1.11,-3.7101,2.0017,-13.1201,-2.9267,-4.0304,1.118,-13.1532,-2.0674,-1.2363,0.2001,-7.1707,-0.9053,1.8538,1.499,1.5459,1.9338,0.9922,0.8254,0.6287,0.9417,50.3465,44.2308,20.7505,50.1382,20.0024,24.191,21.3065,17.7217
002651,利君股份,深圳证券交易所,2012-01-06,25.0,http://www.cdleejun.com,四川省成都市武侯区武科东二路5号,辊压机(高压辊磨机)及其配套设备业务和航空零件及工装设计制造业务。,0.0811,0.0546,0.1189,0.2225,0.08,0.05,0.12,0.22,2.654,2.6658,2.6096,2.7136,3.05,2.05,4.56,8.2,28.2336,33.3266,15.0516,30.9709,24.2945,27.4866,11.4573,26.4384,2.5476,1.69,3.7326,6.8744,4.1195,3.9606,3.8339,4.2984,3.3966,3.3233,3.1644,3.6036,254.796,245.8731,222.4632,241.9827,16.5927,17.5028,18.0911,16.1775
002652,扬子新材,深圳证券交易所,2012-01-19,10.1,http://www.yzjnm.com,江苏省苏州市相城区潘阳工业园春丰路88号,有机涂层板及其基板的研发、生产和销售。,0.031,-0.0086,0.0624,-0.033,0.031,-0.0086,0.06,-0.033,0.5375,0.4979,0.5065,0.4112,5.77,-1.72,12.31,-8.02,7.6791,-5.0215,7.8382,-5.8884,8.5726,-5.0215,7.3478,-5.0573,3.2635,-0.8261,5.6457,-3.2765,1.0529,0.9569,0.9608,0.7882,0.901,0.7858,0.8106,0.6314,23.5231,0.6052,0.9761,2.815,43.4649,51.9539,54.1467,59.1264
